ngrams,n
the,4773781
to,2764654
and,2423208
a,2415610
of,2011118
i,1664231
in,1658697
for,1103390
is,1075551
that,1042840
you,943956
it,920097
on,824825
with,715150
was,624022
my,605278
at,573330
be,549997
this,545625
have,531111
are,491540
but,486093
as,482582
he,430858
we,419752
not,412243
so,386804
from,384716
me,371626
all,340955
they,322693
by,316488
will,315891
or,314351
just,305398
said,305293
up,304150
your,302945
out,302117
his,301761
an,299287
one,299125
about,296396
if,280403
what,279150
like,273823
when,265555
has,259964
who,250139
can,247268
more,244265
do,243419
had,232500
it's,230811
get,227537
time,224988
i'm,217560
there,212322
her,209327
would,205690
their,204731
no,203814
some,202401
she,197336
new,195506
been,188122
our,186267
now,181140
good,180902
were,178028
day,177314
how,176389
know,164058
don't,162599
them,162005
love,161854
people,159408
back,145375
which,144571
go,142524
than,141253
first,141239
year,140138
see,139535
after,133981
into,133124
make,131563
also,130537
its,128576
only,127857
over,127758
other,127135
going,127084
think,126638
last,125736
then,125299
great,124748
two,123573
him,121187
much,120986
because,120393
us,119788
well,116681
too,116263
really,114608
way,113346
could,111998
today,111369
u,111362
even,108759
got,108583
want,107588
work,106912
am,104938
right,104837
did,104674
off,103417
still,103058
here,99256
thanks,99073
need,97942
where,97822
very,94748
most,93804
years,93686
any,93291
life,91940
down,91145
s,90065
rt,89973
before,89732
many,89272
those,88849
say,86991
take,86426
should,86109
being,85677
made,84971
these,84148
come,84026
home,83335
little,83325
that's,82999
never,82243
best,80578
may,80190
while,78373
week,78181
can't,78133
through,77901
night,77717
next,77368
why,76961
game,74939
school,74816
things,74580
lol,73657
something,71988
long,69396
always,68125
state,68113
happy,67425
around,67337
better,67287
another,66884
world,66397
every,65940
didn't,65272
old,65196
show,64980
look,64744
i've,64365
big,64140
you're,63621
three,63588
man,61884
same,60591
again,60457
since,59523
few,59314
city,59009
feel,58495
follow,57418
such,57167
help,57101
hope,56904
sure,56757
thing,56403
use,55604
find,55225
m,55125
own,54341
ever,54078
days,53845
getting,53842
lot,53604
high,53241
keep,52962
house,52790
does,52345
says,52323
place,52137
both,52001
team,51992
family,51646
part,51411
tonight,51029
put,50601
each,50403
looking,50377
until,50247
give,49743
let,49730
end,49579
thank,49313
play,49252
though,49156
free,48986
doing,48228
th,47322
away,47250
p,47079
book,46927
morning,46312
might,46268
oh,46182
i'll,46127
season,46076
start,45841
used,45588
everyone,45358
left,44827
thought,44811
yes,44784
he's,44586
during,44357
d,44315
done,44032
went,43494
st,43212
fun,42977
friends,42973
without,42806
found,42643
call,42589
please,42352
money,42136
god,42000
someone,41975
hard,41799
having,41505
doesn't,41446
second,41445
tell,41382
we're,41282
live,41075
enough,40851
against,40845
bad,40723
making,40721
told,40702
times,40677
real,40259
yet,40016
between,39867
came,39770
run,39351
million,39263
music,39240
pretty,39202
already,39095
working,38906
top,38592
point,38511
set,38336
wait,38220
food,38110
read,37943
try,37903
called,37880
percent,37844
job,37773
coming,37727
must,37637
once,37629
four,37195
nice,37016
trying,36937
makes,36635
story,36631
there's,36438
took,36436
public,36247
under,36201
weekend,35900
actually,35441
stop,35360
twitter,35097
police,35085
everything,35060
far,35016
business,34996
different,34850
soon,34806
open,34732
friday,34680
least,34590
win,34536
tomorrow,34503
post,34401
nothing,34375
head,34254
anything,34193
county,34043
maybe,34004
kids,33980
room,33608
name,33520
person,33265
check,33196
bit,32999
together,32893
later,32782
early,32726
started,32501
believe,32160
white,32135
full,32128
guys,31963
change,31908
com,31883
ago,31782
small,31733
im,31562
w,31496
talk,31448
past,31440
party,31404
course,31397
care,31343
wanted,31328
anyone,31285
kind,31228
children,31199
month,31047
less,30903
girl,30788
half,30608
hey,30543
water,30392
awesome,30375
ready,30362
company,30286
five,30063
including,30006
group,30002
myself,29832
saw,29718
minutes,29701
friend,29631
news,29625
center,29402
case,29365
able,29280
almost,29083
hours,29078
watch,29058
amazing,28982
side,28724
support,28680
watching,28537
line,28510
black,28066
isn't,28066
haha,28042
others,28033
i'd,28012
probably,28004
miss,27832
office,27765
games,27716
president,27597
american,27556
seen,27482
hit,27400
heart,27396
mind,27364
law,27364
along,27333
true,27296
idea,27215
face,27207
young,27097
hear,27089
car,27024
yeah,27010
forward,26945
months,26904
they're,26830
mean,26803
whole,26748
cool,26689
asked,26532
remember,26491
students,26479
using,26298
favorite,26285
taking,26284
playing,26192
wasn't,26186
blog,26115
local,26093
wish,25957
beautiful,25833
often,25830
plan,25676
late,25650
what's,25589
fact,25567
weeks,25562
several,25538
comes,25530
number,25508
b,25501
following,25467
summer,25437
lost,25406
however,25389
stay,25379
guy,25343
else,25340
women,25208
national,25117
finally,25106
health,24994
area,24989
movie,24968
become,24932
pay,24893
pm,24715
according,24714
government,24643
country,24577
monday,24305
looks,24289
power,24232
gonna,24168
red,24082
needs,24026
bring,24020
community,23966
sunday,23937
hate,23907
sometimes,23856
hand,23544
move,23532
close,23480
word,23477
street,23417
n,23399
won't,23372
thinking,23246
phone,23193
excited,23185
add,23148
cut,23127
special,23070
birthday,23062
park,23025
couple,22977
baby,22975
based,22944
instead,22906
ask,22889
saying,22857
leave,22748
c,22743
list,22725
court,22712
important,22693
series,22666
service,22593
road,22519
john,22507
e,22489
o,22454
stuff,22336
words,22328
means,22263
program,22253
former,22250
running,22196
men,22167
share,22149
hot,22092
outside,22014
song,22013
buy,21944
behind,21876
seems,21876
meet,21862
heard,21819
college,21763
april,21733
quite,21655
problem,21621
talking,21538
event,21460
third,21411
reading,21410
project,21402
light,21396
books,21369
whether,21340
mom,21322
either,21294
experience,21291
board,21273
deal,21222
enjoy,21172
let's,21140
writing,21133
turn,21105
tweet,21042
hour,21041
ok,21038
future,21037
social,21006
wrong,20973
six,20951
information,20936
knew,20808
r,20754
gets,20743
question,20734
system,20719
york,20557
video,20553
film,20535
history,20522
perfect,20357
easy,20349
order,20339
sorry,20315
feeling,20312
reason,20307
university,20297
art,20287
short,20235
woman,20211
rather,20159
front,20155
sleep,20129
beer,20081
thursday,20064
members,20027
goes,19953
body,19751
market,19712
given,19708
rest,19705
tuesday,19604
meeting,19575
moment,19561
gave,19490
green,19466
san,19436
living,19404
south,19383
guess,19370
mother,19336
girls,19305
across,19301
large,19263
chance,19253
points,19244
matter,19200
needed,19169
she's,19165
bill,19152
child,19116
media,19091
especially,19089
sweet,19062
parents,18974
fall,18960
haven't,18952
eat,18941
mr,18880
played,18778
town,18739
felt,18717
among,18710
death,18698
final,18693
building,18640
coach,18602
single,18423
decided,18406
t,18400
fans,18362
pick,18325
cause,18286
couldn't,18195
known,18145
starting,18144
taken,18138
wants,18136
walk,18025
spring,18007
fire,17970
states,17970
near,17964
north,17948
officials,17947
march,17941
lead,17941
store,17940
welcome,17939
tv,17912
glad,17904
break,17779
available,17708
learn,17685
self,17633
wednesday,17608
write,17558
tax,17557
shot,17540
won,17504
although,17479
visit,17461
yourself,17431
online,17383
federal,17369
director,17365
within,17342
gone,17327
crazy,17324
players,17311
added,17298
obama,17265
possible,17265
district,17262
report,17255
rock,17186
dinner,17173
drive,17157
west,17147
tried,17075
happen,17066
bed,17055
field,17048
www,17022
card,17015
understand,17000
inside,16908
hair,16884
son,16871
record,16866
works,16815
department,16769
lives,16756
boy,16702
level,16640
sense,16633
process,16620
paper,16615
major,16587
facebook,16568
turned,16566
site,16523
super,16522
round,16512
seeing,16498
eyes,16498
loved,16479
space,16471
we'll,16455
issue,16355
wow,16345
strong,16256
church,16234
air,16219
sounds,16195
low,16192
spent,16192
interesting,16186
per,16162
funny,16155
takes,16075
worth,16043
christmas,15975
age,15967
email,15937
happened,15934
wonderful,15903
looked,15828
we've,15773
send,15770
general,15767
cost,15766
trip,15737
you'll,15737
worked,15729
star,15713
middle,15626
ya,15619
waiting,15617
definitely,15612
wouldn't,15593
wife,15585
page,15495
control,15467
huge,15444
picture,15384
giving,15360
yesterday,15333
schools,15293
ohio,15289
jobs,15276
shows,15276
co,15252
clear,15171
human,15167
questions,15130
wanna,15120
nearly,15115
plans,15097
war,15091
club,15090
hold,15089
energy,15088
blue,15072
conference,15066
ur,15042
lots,15036
fan,15026
longer,14992
political,14989
ones,14903
recent,14901
himself,14873
create,14832
recently,14828
education,14814
fine,14754
race,14691
finished,14681
likely,14668
services,14619
chicago,14607
door,14595
bar,14551
washington,14511
k,14505
weather,14497
goal,14453
act,14445
personal,14443
x,14442
brown,14435
continue,14435
began,14421
ball,14416
seem,14336
wine,14319
challenge,14297
dog,14292
lunch,14291
father,14198
style,14156
stand,14145
issues,14130
coffee,14112
career,14108
held,14057
hands,14053
dont,14034
band,13951
sound,13936
cleveland,13928
sent,13919
cover,13904
decision,13874
america,13863
above,13852
return,13846
dead,13836
perhaps,13813
sign,13812
met,13804
ways,13746
player,13741
simply,13730
step,13721
include,13710
g,13690
jersey,13667
campaign,13666
cold,13645
you've,13640
earlier,13596
price,13561
luck,13536
action,13501
vote,13489
east,13479
okay,13449
usually,13448
join,13447
re,13444
companies,13437
voice,13422
boys,13419
la,13411
aren't,13377
expected,13376
answer,13372
website,13371
forget,13370
moving,13357
knows,13351
themselves,13294
feet,13248
cannot,13240
wonder,13204
research,13191
piece,13181
problems,13155
june,13125
success,13086
offer,13085
sales,13080
beat,13078
david,13058
design,13037
heat,13035
budget,13020
simple,13014
oil,12999
seven,12960
mark,12956
fast,12924
brought,12909
due,12893
spend,12892
wrote,12855
fight,12848
save,12843
alone,12828
league,12824
became,12809
billion,12809
attention,12767
sun,12736
current,12719
seriously,12696
j,12688
football,12680
sad,12647
whose,12633
drink,12620
husband,12619
united,12611
staff,12568
whatever,12529
non,12523
training,12471
jesus,12456
date,12445
received,12437
exactly,12413
louis,12411
dark,12407
gotta,12371
missed,12371
key,12357
student,12333
james,12315
plus,12248
events,12239
fresh,12203
led,12203
died,12181
entire,12158
paid,12155
main,12133
example,12121
stories,12119
dream,12113
term,12092
form,12077
afternoon,12067
teams,12048
choice,12041
california,12022
daughter,12016
followers,12012
cup,12011
practice,12008
dr,12001
opening,11999
busy,11996
table,11980
mine,11955
loss,11928
bought,11911
paul,11905
provide,11856
member,11854
sports,11817
moved,11803
interest,11777
deep,11762
opportunity,11761
medical,11743
totally,11729
brother,11728
dance,11720
ideas,11711
focus,11707
study,11682
extra,11678
congrats,11652
hi,11648
track,11629
followed,11621
view,11607
learned,11586
agree,11578
